incidente_id,ativo_id,data_abertura,tipo,severidade,tatica_mitre,status,analista_responsavel,horas_para_resolver,falso_positivo
INC-2025-0001,ATV-032,2025-09-21,Vulnerabilidade Explorada,Alta,T1190 - Exploit Public-Facing Application,Resolvido,Bruno Carvalho,0.4,Sim
INC-2025-0002,ATV-033,2025-09-22,Engenharia Social,Media,T1598 - Phishing for Information,Resolvido,Ana Beatriz,14.5,Sim
INC-2025-0003,ATV-025,2025-09-24,Phishing,Alta,T1566 - Initial Access,Resolvido,Elisa Ramos,22.3,Nao
INC-2025-0004,ATV-023,2025-09-24,Phishing,Media,T1566 - Initial Access,Em atendimento,Elisa Ramos,,Nao
INC-2025-0005,ATV-004,2025-09-26,Vulnerabilidade Explorada,Media,T1190 - Exploit Public-Facing Application,Resolvido,Elisa Ramos,31.3,Nao
INC-2025-0006,ATV-037,2025-09-28,DDoS,Alta,T1498 - Impact,Resolvido,Ana Beatriz,16.3,Nao
INC-2025-0007,ATV-015,2025-09-28,Malware,Media,T1204 - User Execution,Resolvido,Diego Fernandes,67.9,Sim
INC-2025-0008,ATV-005,2025-09-28,Engenharia Social,Baixa,T1598 - Phishing for Information,Resolvido,Ana Beatriz,68.8,Sim
INC-2025-0009,ATV-015,2025-09-30,DDoS,Baixa,T1498 - Impact,Resolvido,Camila Souza,5.6,Sim
INC-2025-0010,ATV-020,2025-10-01,Vulnerabilidade Explorada,Critica,T1190 - Exploit Public-Facing Application,Resolvido,Diego Fernandes,2.9,Nao
INC-2025-0011,ATV-018,2025-10-01,Phishing,Alta,T1566 - Initial Access,Resolvido,Ana Beatriz,27.1,Nao
INC-2025-0012,ATV-033,2025-10-01,Exfiltracao de Dados,Critica,T1041 - Exfiltration Over C2,Resolvido,Bruno Carvalho,5.7,Nao
INC-2025-0013,ATV-039,2025-10-01,Exfiltracao de Dados,Critica,T1041 - Exfiltration Over C2,Resolvido,Elisa Ramos,1.4,Nao
INC-2025-0014,ATV-038,2025-10-02,Exfiltracao de Dados,Alta,T1041 - Exfiltration Over C2,Resolvido,Elisa Ramos,14.9,Nao
INC-2025-0015,ATV-028,2025-10-02,DDoS,Baixa,T1498 - Impact,Resolvido,Camila Souza,149.4,Sim
INC-2025-0016,ATV-008,2025-10-06,Forca Bruta,Media,T1110 - Credential Access,Resolvido,Diego Fernandes,95.3,Nao
INC-2025-0017,ATV-014,2025-10-06,DDoS,Media,T1498 - Impact,Resolvido,Felipe Nogueira,21.3,Sim
INC-2025-0018,ATV-020,2025-10-10,Forca Bruta,Alta,T1110 - Credential Access,Resolvido,Felipe Nogueira,2.8,Nao
INC-2025-0019,ATV-036,2025-10-11,Acesso Anomalo,Alta,T1078 - Valid Accounts,Resolvido,Felipe Nogueira,19.4,Nao
INC-2025-0020,ATV-005,2025-10-12,DDoS,Media,T1498 - Impact,Resolvido,Camila Souza,40.1,Nao
INC-2025-0021,ATV-034,2025-10-13,Phishing,Baixa,T1566 - Initial Access,Resolvido,Bruno Carvalho,201.3,Nao
INC-2025-0022,ATV-014,2025-10-13,DDoS,Critica,T1498 - Impact,Resolvido,Elisa Ramos,3.1,Nao
INC-2025-0023,ATV-007,2025-10-14,Acesso Anomalo,Alta,T1078 - Valid Accounts,Em atendimento,Diego Fernandes,,Nao
INC-2025-0024,ATV-032,2025-10-15,Exfiltracao de Dados,Media,T1041 - Exfiltration Over C2,Resolvido,Camila Souza,21.8,Nao
INC-2025-0025,ATV-034,2025-10-16,Phishing,Alta,T1566 - Initial Access,Resolvido,Bruno Carvalho,6.6,Nao
INC-2025-0026,ATV-002,2025-10-16,Acesso Anomalo,Alta,T1078 - Valid Accounts,Resolvido,Diego Fernandes,2.6,Nao
INC-2025-0027,ATV-035,2025-10-16,Exfiltracao de Dados,Critica,T1041 - Exfiltration Over C2,Resolvido,Diego Fernandes,5.1,Nao
INC-2025-0028,ATV-010,2025-10-17,Malware,Media,T1204 - User Execution,Resolvido,Ana Beatriz,92.7,Nao
INC-2025-0029,ATV-015,2025-10-19,Vulnerabilidade Explorada,Critica,T1190 - Exploit Public-Facing Application,Resolvido,Elisa Ramos,0.5,Nao
INC-2025-0030,ATV-001,2025-10-20,Exfiltracao de Dados,Critica,T1041 - Exfiltration Over C2,Resolvido,Bruno Carvalho,3.8,Nao
INC-2025-0031,ATV-031,2025-10-21,Engenharia Social,Alta,T1598 - Phishing for Information,Em atendimento,Felipe Nogueira,,Nao
INC-2025-0032,ATV-006,2025-10-24,Acesso Anomalo,Baixa,T1078 - Valid Accounts,Resolvido,Elisa Ramos,15.8,Sim
INC-2025-0033,ATV-008,2025-10-24,Vulnerabilidade Explorada,Alta,T1190 - Exploit Public-Facing Application,Resolvido,Elisa Ramos,1.4,Nao
INC-2025-0034,ATV-026,2025-10-24,Exfiltracao de Dados,Critica,T1041 - Exfiltration Over C2,Resolvido,Ana Beatriz,4.1,Nao
INC-2025-0035,ATV-005,2025-10-25,Engenharia Social,Baixa,T1598 - Phishing for Information,Resolvido,Felipe Nogueira,37.0,Sim
INC-2025-0036,ATV-012,2025-10-27,Malware,Media,T1204 - User Execution,Resolvido,Diego Fernandes,77.3,Nao
INC-2025-0037,ATV-017,2025-10-28,Vulnerabilidade Explorada,Media,T1190 - Exploit Public-Facing Application,Resolvido,Elisa Ramos,0.9,Sim
INC-2025-0038,ATV-004,2025-10-29,Forca Bruta,Baixa,T1110 - Credential Access,Resolvido,Bruno Carvalho,37.8,Sim
INC-2025-0039,ATV-031,2025-10-29,Phishing,Alta,T1566 - Initial Access,Resolvido,Ana Beatriz,6.2,Nao
INC-2025-0040,ATV-028,2025-10-30,Forca Bruta,Media,T1110 - Credential Access,Resolvido,Ana Beatriz,12.8,Sim
INC-2025-0041,ATV-009,2025-11-02,Forca Bruta,Media,T1110 - Credential Access,Resolvido,Felipe Nogueira,31.2,Nao
INC-2025-0042,ATV-002,2025-11-02,Malware,Media,T1204 - User Execution,Resolvido,Elisa Ramos,21.5,Nao
INC-2025-0043,ATV-040,2025-11-02,Acesso Anomalo,Alta,T1078 - Valid Accounts,Resolvido,Camila Souza,14.0,Nao
INC-2025-0044,ATV-026,2025-11-02,Exfiltracao de Dados,Alta,T1041 - Exfiltration Over C2,Resolvido,Felipe Nogueira,7.2,Nao
INC-2025-0045,ATV-006,2025-11-03,Engenharia Social,Media,T1598 - Phishing for Information,Resolvido,Camila Souza,5.1,Sim
INC-2025-0046,ATV-003,2025-11-03,Forca Bruta,Media,T1110 - Credential Access,Resolvido,Diego Fernandes,70.2,Sim
INC-2025-0047,ATV-005,2025-11-04,Acesso Anomalo,Media,T1078 - Valid Accounts,Resolvido,Elisa Ramos,68.9,Nao
INC-2025-0048,ATV-002,2025-11-06,Vulnerabilidade Explorada,Alta,T1190 - Exploit Public-Facing Application,Resolvido,Felipe Nogueira,3.7,Nao
INC-2025-0049,ATV-024,2025-11-07,Phishing,Media,T1566 - Initial Access,Em atendimento,Felipe Nogueira,,Nao
INC-2025-0050,ATV-007,2025-11-08,Malware,Media,T1204 - User Execution,Resolvido,Bruno Carvalho,13.0,Nao
INC-2025-0051,ATV-003,2025-11-08,Vulnerabilidade Explorada,Alta,T1190 - Exploit Public-Facing Application,Resolvido,Ana Beatriz,1.5,Sim
INC-2025-0052,ATV-003,2025-11-09,Acesso Anomalo,Baixa,T1078 - Valid Accounts,Resolvido,Ana Beatriz,212.7,Nao
INC-2025-0053,ATV-036,2025-11-10,Malware,Baixa,T1204 - User Execution,Resolvido,Diego Fernandes,90.9,Sim
INC-2025-0054,ATV-008,2025-11-10,Engenharia Social,Media,T1598 - Phishing for Information,Resolvido,Ana Beatriz,48.6,Nao
INC-2025-0055,ATV-036,2025-11-12,Phishing,Baixa,T1566 - Initial Access,Resolvido,Felipe Nogueira,14.3,Sim
INC-2025-0056,ATV-025,2025-11-17,DDoS,Media,T1498 - Impact,Resolvido,Diego Fernandes,11.6,Nao
INC-2025-0057,ATV-021,2025-11-18,Vulnerabilidade Explorada,Alta,T1190 - Exploit Public-Facing Application,Resolvido,Felipe Nogueira,1.5,Nao
INC-2025-0058,ATV-007,2025-11-18,Vulnerabilidade Explorada,Critica,T1190 - Exploit Public-Facing Application,Resolvido,Felipe Nogueira,6.1,Nao
INC-2025-0059,ATV-003,2025-11-19,Exfiltracao de Dados,Alta,T1041 - Exfiltration Over C2,Resolvido,Felipe Nogueira,1.9,Nao
INC-2025-0060,ATV-013,2025-11-20,Forca Bruta,Media,T1110 - Credential Access,Resolvido,Felipe Nogueira,53.3,Sim
INC-2025-0061,ATV-007,2025-11-20,Forca Bruta,Media,T1110 - Credential Access,Resolvido,Camila Souza,9.7,Nao
INC-2025-0062,ATV-029,2025-11-22,Exfiltracao de Dados,Media,T1041 - Exfiltration Over C2,Resolvido,Felipe Nogueira,33.9,Nao
INC-2025-0063,ATV-035,2025-11-23,Vulnerabilidade Explorada,Alta,T1190 - Exploit Public-Facing Application,Resolvido,Diego Fernandes,1.5,Nao
INC-2025-0064,ATV-036,2025-11-23,DDoS,Alta,T1498 - Impact,Resolvido,Elisa Ramos,2.2,Nao
INC-2025-0065,ATV-007,2025-11-23,Vulnerabilidade Explorada,Critica,T1190 - Exploit Public-Facing Application,Resolvido,Felipe Nogueira,1.1,Nao
INC-2025-0066,ATV-016,2025-11-25,DDoS,Alta,T1498 - Impact,Resolvido,Felipe Nogueira,30.0,Nao
INC-2025-0067,ATV-024,2025-11-25,Forca Bruta,Media,T1110 - Credential Access,Resolvido,Bruno Carvalho,211.1,Sim
INC-2025-0068,ATV-005,2025-11-26,Malware,Baixa,T1204 - User Execution,Resolvido,Felipe Nogueira,41.1,Sim
INC-2025-0069,ATV-037,2025-11-27,DDoS,Media,T1498 - Impact,Resolvido,Elisa Ramos,31.5,Nao
INC-2025-0070,ATV-015,2025-11-28,Acesso Anomalo,Media,T1078 - Valid Accounts,Resolvido,Bruno Carvalho,12.9,Nao
INC-2025-0071,ATV-007,2025-11-29,Acesso Anomalo,Alta,T1078 - Valid Accounts,Resolvido,Diego Fernandes,24.8,Sim
INC-2025-0072,ATV-021,2025-11-30,Vulnerabilidade Explorada,Critica,T1190 - Exploit Public-Facing Application,Resolvido,Camila Souza,3.1,Nao
INC-2025-0073,ATV-001,2025-12-03,Exfiltracao de Dados,Alta,T1041 - Exfiltration Over C2,Em atendimento,Diego Fernandes,,Nao
INC-2025-0074,ATV-038,2025-12-10,DDoS,Critica,T1498 - Impact,Resolvido,Felipe Nogueira,20.2,Nao
INC-2025-0075,ATV-004,2025-12-13,Malware,Baixa,T1204 - User Execution,Resolvido,Bruno Carvalho,107.8,Sim
INC-2025-0076,ATV-005,2025-12-13,Acesso Anomalo,Media,T1078 - Valid Accounts,Resolvido,Felipe Nogueira,15.2,Nao
INC-2025-0077,ATV-021,2025-12-16,Engenharia Social,Critica,T1598 - Phishing for Information,Resolvido,Bruno Carvalho,15.2,Nao
INC-2025-0078,ATV-008,2025-12-16,Malware,Baixa,T1204 - User Execution,Em atendimento,Ana Beatriz,,Sim
INC-2025-0079,ATV-003,2025-12-17,Malware,Alta,T1204 - User Execution,Resolvido,Ana Beatriz,0.4,Nao
INC-2025-0080,ATV-005,2025-12-18,DDoS,Alta,T1498 - Impact,Resolvido,Diego Fernandes,20.7,Nao
INC-2025-0081,ATV-029,2025-12-20,DDoS,Alta,T1498 - Impact,Em atendimento,Bruno Carvalho,,Nao
INC-2025-0082,ATV-002,2025-12-20,DDoS,Media,T1498 - Impact,Resolvido,Diego Fernandes,91.6,Sim
INC-2025-0083,ATV-025,2025-12-20,Engenharia Social,Media,T1598 - Phishing for Information,Resolvido,Diego Fernandes,77.2,Nao
INC-2025-0084,ATV-008,2025-12-20,Vulnerabilidade Explorada,Alta,T1190 - Exploit Public-Facing Application,Em atendimento,Elisa Ramos,,Nao
INC-2025-0085,ATV-023,2025-12-20,Forca Bruta,Alta,T1110 - Credential Access,Em atendimento,Diego Fernandes,,Nao
INC-2025-0086,ATV-001,2025-12-22,Forca Bruta,Alta,T1110 - Credential Access,Resolvido,Felipe Nogueira,6.5,Nao
INC-2025-0087,ATV-029,2025-12-24,Forca Bruta,Baixa,T1110 - Credential Access,Resolvido,Bruno Carvalho,147.4,Sim
INC-2025-0088,ATV-038,2025-12-24,Engenharia Social,Media,T1598 - Phishing for Information,Resolvido,Ana Beatriz,32.9,Nao
INC-2025-0089,ATV-003,2025-12-24,Forca Bruta,Baixa,T1110 - Credential Access,Em atendimento,Felipe Nogueira,,Sim
INC-2025-0090,ATV-011,2025-12-29,DDoS,Alta,T1498 - Impact,Resolvido,Bruno Carvalho,44.5,Nao
INC-2025-0091,ATV-002,2025-12-30,Exfiltracao de Dados,Alta,T1041 - Exfiltration Over C2,Resolvido,Bruno Carvalho,42.5,Sim
INC-2025-0092,ATV-002,2025-12-30,Vulnerabilidade Explorada,Alta,T1190 - Exploit Public-Facing Application,Resolvido,Ana Beatriz,8.7,Nao
INC-2025-0093,ATV-003,2025-12-30,Engenharia Social,Media,T1598 - Phishing for Information,Resolvido,Diego Fernandes,3.4,Nao
INC-2025-0094,ATV-007,2025-12-30,Vulnerabilidade Explorada,Critica,T1190 - Exploit Public-Facing Application,Resolvido,Diego Fernandes,24.0,Nao
INC-2025-0095,ATV-026,2025-12-31,Acesso Anomalo,Baixa,T1078 - Valid Accounts,Resolvido,Elisa Ramos,11.1,Nao
